"Long","Lat","Official","Date_","Species","Status","Comments","GlobalID","CreationDate","Creator","EditDate","Editor"
-84.32816950746623,33.92177845336326,"Survey","2016-09-30 11:47:34","Swainson's Thrush","Dead","collision was fresh","{C72AD330-DDEE-4A2C-A6F7-04165D209D78}","","","",""
-84.37184360681177,33.84626155299548,"Incidental","2016-04-13 14:27:00","Gray Catbird","Dead","Fresh","{3C4B5482-F9B1-45F4-ADA9-04376C5E0F2F}","","","",""
-84.3706472781271,33.84753974807346,"Incidental","2016-06-04 17:30:38","Ruby-throated Hummingbird","Dead","Steve","{4AFB6190-39CF-43D8-8F5B-04BBD5795E31}","","","",""
-84.39024657816388,33.748584637687784,"Incidental","2016-05-25 14:20:00","Yellow-billed Cuckoo","Dead","Found by Paul H of City Hall","{D8756E8F-ADFF-4F12-8E38-04CF02BAF8E1}","","","",""
-84.32807408302685,33.921739286634356,"Survey","2016-09-29 14:01:40","Rose-breasted Grosbeak","Dead","","{5B3E36F2-08ED-4BE6-AF78-062D5E6C257A}","","","",""
-84.50333708468963,33.99214926021772,"Incidental","2017-05-23 04:00:00","","Rehab","Canada Goose. Sighting reported via Ask Chippy. Bird was handled by animal control.","{8D8DBB8C-C65F-4A41-B24B-0635D4ECED0D}","","","",""
-84.32799935038175,33.92162658015874,"Survey","2016-08-26 12:32:57","Red-eyed Vireo","Alive","On ground. flew to branch. ","{591CCB31-BE11-4780-BC07-064999125DFD}","","","",""
-84.3706704133389,33.84756667377717,"Survey","2017-09-14 12:24:23","Ruby-throated Hummingbird","Dead","Collected. Mary Kimberly ","{534C24F3-2652-4802-AB61-06C54B919318}","","","",""
-84.39059851024442,33.748275287612884,"Incidental","2017-10-30 16:00:00","Ovenbird","Dead","Found by Jairo","{6B48036D-44B1-4A28-9D9B-06C7B8AEF180}","","","",""
-84.39026214417112,33.74861155569786,"Incidental","2017-06-19 19:17:42","Common Grackle","Dead","","{249965C8-D2C7-42A0-B980-06D223F92046}","","","",""
-84.36586520001833,33.84808065839357,"Survey","2017-09-27 10:55:27","","Dead","Been here for a while","{1E52EC18-1E1D-440C-88FC-06ECD49E06DE}","","","",""
-84.39090870569855,33.76220327431605,"Survey","2016-10-09 12:16:19","Wood Thrush","Dead","American cancer society by parking lot entrance # 4 thrush","{388CE7CE-5C8F-4FF2-B7BC-0756909140DC}","","","",""
-84.36634803190714,33.84891877859687,"Incidental","2016-10-08 20:18:04.000001","Yellow-billed Cuckoo","Dead","Steve","{6A23CF36-3700-44A8-A82A-080AB3903936}","","","",""
-84.3862473566724,33.78540064969391,"Incidental","2016-09-05 20:45:00","Sora","Dead","Hy bird. It was on the ground across the street from a very tall building. It could have hit the building or it could have been predates on. It had been dead at least since the morning, and could have been picked on afterward.","{41D9B5A5-9EA7-4AE3-BA30-0818D1760D30}","","","",""
-84.37186112575644,33.8493888937699,"Survey","2017-10-01 13:40:20","Tennessee Warbler","Dead","","{1ABACAEA-DE42-4948-811E-0899C08EBCD1}","","","",""
-84.4004543691976,33.77671315434597,"Incidental","2016-09-27 12:33:02","Gray Catbird","Dead","very decomposed; carcass discarded; Manufacturing Related Disciplines","{D9B03AF2-4AC8-48E6-873E-0A637E223822}","","","",""
-84.3713769284284,33.844662176284515,"Survey","2016-09-16 12:00:38","Ruby-throated Hummingbird","Dead","HY Male. in covered courtyard area ","{E72AD02F-05EF-4DBD-BEA7-0AD1B9FE7AB7}","","","",""
-84.3280526797669,33.92162188995359,"Survey","2016-08-26 12:29:28.000001","Red-eyed Vireo","Alive","","{DBEC190F-4D17-4866-A8B6-0B2F32E983A0}","","","",""
-84.37122847913275,33.84680553331053,"Incidental","2016-05-25 21:01:55","Eastern Phoebe","Dead","Steve","{7E7F2294-7AF6-41DD-8600-0B381FC52500}","","","",""
-84.37067335262653,33.847363659431885,"Survey","2016-08-31 12:32:31.000001","Ruby-throated Hummingbird","Dead","","{F6A1EBBA-EA68-4892-917C-0B3B718902F4}","","","",""
-84.39659686862032,33.779563909120625,"Survey","2017-08-17 10:42:00","Ruby-throated Hummingbird","Dead","Molecular Science","{6787847D-4948-48C0-981B-0C44A7626720}","","","",""
-84.37201126478313,33.8451049288164,"Survey","2016-10-24 11:18:49","","Alive","Bat","{17414705-24FA-4F6A-9DB6-0CA7E39F3E32}","","","",""
-84.3714534702805,33.84559337025077,"Survey","2016-10-13 12:51:54","American Robin","Alive","stunned. taken for rehab","{42E97EEC-D95C-428A-9C62-0CDB5CABCB68}","","","",""
-84.39790207581238,33.78073635137189,"Survey","2017-09-19 10:08:51","Ovenbird","Alive","GTech; Engineered Biosystems Bld.","{2FAF9FCA-68AB-4373-B21E-0DB67019E828}","","","",""
-84.38650684402538,33.75683452031166,"Incidental","2016-05-10 11:48:33","Ruby-throated Hummingbird","Dead","On my way to a meeting. Couldn't collect. On the east side of the College of Law building. ","{78D11644-574C-4C76-A6FA-0EF0503D7785}","","","",""
-84.32879920132757,33.92156389523287,"Incidental","2016-09-29 14:34:13","Common Yellowthroat","Dead","Found by maintenance crew ","{B695F1E1-1BFA-4078-9618-0F010F6DE14F}","","","",""
-84.38830739484152,33.753562091789654,"Survey","2016-10-01 10:10:00","White-eyed Vireo","Dead","In planter.  Note that some of the photos were taken with phone with no flash in the dark; yellow coloration is due to streetlights.","{4712A00A-6CB3-4F33-BDCD-0F1C42672E91}","","","",""
-84.39626803941225,33.77388757125425,"Survey","2016-05-03 11:55:12","Carolina Wren","Dead","within three ft. of doors","{76A038EB-75B5-406E-BF18-0F9E0354A642}","","","",""
-84.33629599810641,33.94239021715097,"Incidental","2016-04-14 11:10:14","Ruby-throated Hummingbird","Dead","Found by custodian","{132B3D12-ED0F-4AB8-8EA2-0FB6DAEFE560}","","","",""
-84.36718278599501,33.847347716603025,"Survey","2017-05-05 10:29:27","Wood Thrush","Dead","","{D410DD02-8E6A-4FEE-AAAE-0FF5142439A5}","","","",""
-84.38847510761012,33.75673059809071,"Survey","2017-05-13 11:46:45","White-eyed Vireo","Dead","","{55D37079-F591-4E7A-B7D6-10114B97DDF9}","","","",""
-84.38935729993152,33.762562520220236,"Survey","2017-10-01 12:01:50","Ovenbird","","","{54D692CD-AA58-4A1F-9920-1113A7F9202C}","","","",""
-84.36562144665756,33.96954898632999,"Incidental","2016-10-07 18:05:12","Palm Warbler","Dead","","{311F0BA0-3E03-4D51-8B82-11198E76C624}","","","",""
-84.40178855693905,33.77534011575621,"Survey","2017-04-27 11:36:49","Cedar Waxwing","Dead","Advanced decomposition; not bagged; Inner corridor of Groseclose Bld. and ISyE Bld.","{0D4F32FE-3E8F-43E6-BBB2-11206E084C27}","","","",""
-84.37274747368434,33.84812182707535,"Survey","2017-09-14 11:33:10","Ruby-throated Hummingbird","Dead","Two together in planter. Looks like maybe someone put them there; both laid on on a slab of pine mulch.!Discarded. Mary Kimberly ","{2EF3BF2C-FBF0-4299-A129-118EF350DF87}","","","",""
-84.40199225801457,33.77549910394545,"Survey","2016-04-28 16:24:12","American Goldfinch","Dead","dead goldfinch, same area as the one repotted yesterday. They are colliding on the glass bridges at Groseclose building over the walkway. not collected since it was decomposing badly.","{0F383C92-EFE5-4065-AFEC-11BACF68A480}","","","",""
-84.37335254741869,33.848098220795514,"Survey","2016-10-17 12:55:40","Unknown Bird","Dead","very old. bushes just trimmed revealing specimen ","{2A4D025E-571A-4B63-8941-12882C2D5EBD}","","","",""
-84.37196966559895,33.84621357242818,"Survey","2016-10-11 10:45:00","Ovenbird","Alive","flying well. was stopped on steps.","{0B8F3D5A-C2EF-4C5F-B430-1352C0731AC8}","","","",""
-84.39129834456314,33.76103364564757,"Survey","2017-10-14 11:38:41.000001","Unknown Bird","Dead","smashed, but rusty head stripe looks like Ovenbird","{512E6D99-340E-4606-B394-1354B1666B64}","","","",""
-84.36511609130964,33.849281578912176,"Survey","2017-03-21 12:18:35","American Robin","Dead","old. maggots and ants present. not immediately in front of window but nearby ","{ED8C6C8C-0AEF-41B0-905C-136FC7FDA1B7}","","","",""
-84.3722827886626,33.84572482416719,"Survey","2016-10-03 12:46:40","Magnolia Warbler","Alive","Removed the stunned bird from the side walk with no resistance from the bird and took it to a safe spot outside at my home. Approximately one hour after I had collected the bird, it flew off.  ","{4C66AED8-77C1-4EAB-8366-1374F6FCF47E}","","","",""
-84.39652329300529,33.778310282041105,"Survey","2016-08-30 10:24:49","American Robin","Dead","advanced state of decomposition; body discarded","{8E998249-B7BB-4443-BFE4-138B4AD5079E}","","","",""
-84.36535932005428,33.85297835757229,"Incidental","2016-10-13 00:11:33","Tennessee Warbler","Dead","","{C2D53164-1866-4EF2-8A4F-13AA09CDCD68}","","","",""
-84.33924931111257,33.97022265277617,"Incidental","2016-09-09 12:58:03","Black-and-white Warbler","Dead","in bucket, found near east loading dock","{B407F366-D435-4DE3-A9C6-13B6C66FAEE5}","","","",""
-84.40188153975748,33.7762302975223,"Survey","2016-05-05 11:45:25","Northern Waterthrush","Dead","Niche on the South-western side of the Love building ","{C97676D2-F8E4-446F-B164-13CBBFA10225}","","","",""
-84.32860397765339,33.921436974013055,"Survey","2017-05-08 09:49:51","Blue-gray Gnatcatcher","Dead","","{78C612E5-550B-472C-9E6D-13D11F99D58D}","","","",""
-84.39001192383863,33.75575965396405,"Incidental","2017-12-09 05:00:00","American Woodcock","Rehab","Learned of collision via Instagram. Taken to AWARE.","{76A1E5D0-7C61-4CCF-A4A5-147537EA5F2C}","","","",""
-84.33603528455306,33.94209984435512,"Survey","2016-09-30 12:10:57","Red-eyed Vireo","Alive","flew on approach","{F09F12D3-4009-43DD-BAA9-149BC8FFC1CE}","","","",""
-84.33596992043805,33.942317129762806,"Survey","2016-08-26 11:55:25","Ruby-throated Hummingbird","Dead","covered in ants. between driveways","{B643F7BB-BCBB-45FC-A702-14F3AAB863B3}","","","",""
-84.40191064966427,33.77651390983651,"Survey","2017-10-31 12:37:41","Eastern Towhee","Dead","GTech; Love Bld","{BD2127E9-F23C-41ED-B58C-1533F9034576}","","","",""
-84.38940815535638,33.76092923561168,"Survey","2017-04-29 13:59:01.000001","Hooded Warbler","Dead","at america mart building 2, on John Portman. Hooded Warbler","{D4BA60C3-915C-4D8C-BA84-1535771090FE}","","","",""
-84.36898395036049,33.845437135518495,"Survey","2016-10-09 12:14:29","Gray Catbird","Dead","","{107C80AD-3197-4B15-87BB-15B23BC94E4D}","","","",""
-84.39942379675084,33.7745287734216,"Survey","2017-11-09 18:01:55","Blue-headed Vireo","Dead","ETech; Smithgall Student Services Bld.","{D0C70C5C-0F31-470E-8437-15D40E50EE1F}","","","",""
-84.36148597050044,33.85037879410437,"Incidental","2017-03-17 04:00:00","Cedar Waxwing","Alive","","{FF191B71-528B-44BF-91D0-15E9EC36E0E6}","","","",""
-84.39671819957417,33.779935916599065,"Survey","2017-09-21 10:05:56","Orange-crowned Warbler","Dead","GTech;Molecular Science and Engineering Bld.","{3E3A93A2-E350-423A-926A-164C552CB435}","","","",""
-84.32814859378811,33.92169130973366,"Survey","2016-09-26 11:58:35.000001","Unknown Bird","","evidence of possible collision about 4' from bldg","{BB08A50B-E24E-4B80-A5C5-1655368FA21C}","","","",""
-84.3908959190788,33.74843549272687,"Incidental","2017-02-10 13:00:00","Cedar Waxwing","Dead","Found by Ken Boff","{A385DFE2-FDCC-4D7A-828E-1681A4F6DEF8}","","","",""
-84.40182217099867,33.77545961323058,"Incidental","2016-04-27 17:13:00","American Goldfinch","Dead","Groseclose building, inner courtyard. 2 dead goldfinches seen on my way to lunch. A maintenance guy disposed of them. The birches in this building courtyard are full of singing goldfinches. pictures of the crash window are attached. ","{75BC6DBC-58AB-445C-8E13-16A70592B76C}","","","",""
-84.39073208254065,33.7621787705476,"Survey","2017-11-04 11:22:39","Magnolia Warbler","Dead","collected; 1st yr female","{4349A1C1-F159-43F3-B0C3-16F6A1C2573D}","","","",""
-84.38876062275013,33.758601189249035,"Survey","2017-10-21 11:14:17","","Dead","Under overhead walkway; run over by car, dessicated.  Possible robin.","{000ECE2C-17D0-4A44-B701-1744BD888B2D}","","","",""
-84.36428979935175,33.84988756144937,"Survey","2017-03-24 11:05:32","Cedar Waxwing","Dead","On sidewalk near stairs at Bank of America in Monarch Plaza ","{ACBABFAA-FB0D-42DB-B93E-17D4E1D916CC}","","","",""
-84.36657224780879,33.846936919707275,"Survey","2016-10-24 11:45:35","Wood Thrush","Dead","Hatch year","{5676BB12-B65A-499D-8972-17E5ED4DEEA6}","","","",""
-84.39647904738429,33.77837165349149,"Survey","2016-10-04 12:20:33.000001","Ovenbird","Dead","SE; Whitaker Bld; bagged","{23F5E058-B485-434E-9562-18054D06A566}","","","",""
-84.38825671099487,33.757557400078575,"Survey","2016-10-22 10:46:49","White-throated Sparrow","Dead","fresh ","{20DAC033-B177-4323-892F-180A7AAC3D1B}","","","",""
-84.39892421038368,33.774556539759075,"Survey","2017-09-14 12:31:09","Unknown Thrush","Dead","GTech; Wenn Student Center and Post Office","{7B31A1B1-AF38-41AC-A27F-18622FEE2FF1}","","","",""
-84.37161362731925,33.84613982957876,"Incidental","2016-08-02 21:06:54","Eastern Towhee","Dead","Steve","{2E5428E8-B2F6-4A08-9387-1884E907D154}","","","",""
-84.39620213451143,33.7786500096105,"Incidental","2016-10-25 10:40:24","Tennessee Warbler","Dead","Ford Engineering;W;bird bagged","{C3EDEB23-7C54-4307-BFF9-18BAA782F117}","2016-10-25 10:40:30","S. Dupont","2016-10-25 10:41:14",""
-84.39106291139855,33.74848011240056,"Survey","2016-05-08 10:49:32","Ovenbird","Alive","Saw it hit and fall, stunned","{1E934EDF-2963-453A-9BEE-190F2CA60A8B}","","","",""
-84.39670413016017,33.77973928021208,"Survey","2016-09-13 10:06:06","Unknown Bird","Dead","Unknown hummingbird;very decomposed; molecular science bldg.; discarded body;","{21E6ABE4-08E3-49E3-9F6E-1962888CA776}","","","",""
-84.36095652053996,33.850941755849654,"","","","","","{AA47BCEF-7A64-4D1A-B502-19AE2E33691E}","","","",""
-84.37378153967924,33.84870912006183,"Survey","2016-10-11 11:23:31","Tennessee Warbler","Dead","","{C52EEC86-375B-4920-91E7-19B3C647F97A}","","","",""
-84.39659180122379,33.773882218810144,"Survey","2016-10-11 12:26:20","Northern Waterthrush","Dead","Skiles Bld; N; bird bagged","{85FE6F83-F7BE-4B91-AB1E-1A20639132CB}","","","",""
-84.39551007780643,33.77409140295002,"Survey","2017-10-12 12:00:00","Unknown Warbler","Dead","adv. decomposition","{8B14F2FF-E457-4CC9-85F1-1A2D03ACB082}","","","",""
-84.38838973352213,33.75674385565886,"Survey","2016-10-22 10:34:54","White-eyed Vireo","Dead","still warm","{70ADF474-C44B-4D3C-AE8E-1AABC412A966}","","","",""
-84.37229155532145,33.845819109368115,"","","","","","{22A94FEA-1115-4048-B9EF-1AFFEF9CA240}","","","",""
-84.36570833261017,33.96923295355945,"Incidental","2018-02-06 20:34:06","Yellow-rumped Warbler","Dead","not too old. Maybe a day or 2","{9BA0F80A-B586-4482-871D-1B00CC98BFCC}","","","",""
-84.3878739145978,33.75494723371467,"Survey","2016-10-30 10:41:08.000001","Common Yellowthroat","Dead","pushed aside with some construction debris. Tail gone.","{1AA15948-62F0-46FF-9CA5-1B8E9F8602D8}","","","",""
-84.37072317049723,33.847624999343566,"Incidental","2016-09-06 22:19:21.000001","Ruby-throated Hummingbird","Dead","HY male","{DE700791-56D0-47F9-8BF3-1BFC4A67FE61}","","","",""
-84.39074982157257,33.74890207740831,"Incidental","2016-05-14 11:39:55","Unknown Bird","","just skeleton. keel and skull with beak visible. decent size","{1E9C3992-BE66-4651-9255-1D1C2ED4305D}","","","",""
-84.39124396145415,33.74861987579478,"Incidental","2016-04-13 11:35:59","Cedar Waxwing","Dead","","{0A26419F-CD5C-4E16-9E71-1D8BD2ED9A61}","","","",""
-84.39612113432057,33.78000563081505,"Survey","2016-10-06 10:04:38","Tennessee Warbler","Dead","Molecular Science Eng.; Id TBD;Bagged","{5F4B0331-0097-4D16-AC36-1DA184784596}","","","",""
-84.39540862656982,33.77418917212943,"Survey","2016-10-11 11:54:24","Bay-breasted Warbler","Dead","Price Gilbert Bld.; S; Bird bagged","{B7391FDD-BC76-4BFF-A6C4-1DA1FA2FEC7D}","","","",""
-84.37059397569139,33.847429554784924,"Survey","2017-09-28 13:08:27","Ruby-throated Hummingbird","Dead","","{D69BD5FC-24D9-4DC9-83A5-1E0488E6067F}","","","",""
-84.40180862350587,33.775409993506464,"Survey","2017-11-14 13:34:12","American Woodcock","Dead","ETech Groseclose Bld. and ISyE Bld.","{531399C9-A285-44CA-94F2-1E4D08F556AE}","","","",""
-84.3612279905205,33.84976197715876,"Survey","2017-03-14 12:05:00","American Robin","Dead","","{4C343E72-0A12-4A19-8A9B-1EAE47FA9BCD}","","","",""
-84.36095652053996,33.85093061819615,"Incidental","2017-11-01 16:00:00","Blackburnian Warbler","Dead","Found by staff. HY birds","{B96EC7D1-1E46-420B-8102-1EBD096A6CE3}","","","",""
-84.36534430291769,33.85303128495033,"Incidental","2016-10-13 00:14:52","Tennessee Warbler","Dead","lots of ants","{F1B41678-794C-4413-9175-1ED2356A6866}","","","",""
-84.25596420862124,34.084805363944376,"Incidental","2017-11-02 20:15:00","Swainson's Thrush","Alive","Found on eBird. Late date for SWTH.","{45095989-E027-49A6-89C4-1EFA3870D522}","","","",""
-84.39718438927402,33.7785203961768,"Survey","2016-08-25 10:43:33","Unknown Bird","Dead","extremely decomposed; buried bird","{B028B055-CF0E-477E-A7FE-1F25BB64180A}","","","",""
-84.38999178810153,33.74828359579144,"Survey","2016-10-04 11:03:50","Chimney Swift","Dead","Covered in ants.","{B2938EAA-FAD2-4077-AC89-1F887A6FF70B}","","","",""
-84.39604822345885,33.776330390207704,"Incidental","2017-11-09 17:09:50","Hermit Thrush","Dead","ETech; School of Architectural Design","{C3765915-3149-4F77-96E9-208C8D75768D}","","","",""
-84.390656995061,33.761112842746414,"Survey","2016-10-22 11:32:27","Ovenbird","Alive","stunned but flew away when we tried to grab it. seemed in good health","{792C738A-F41F-4A4B-A3D3-20E721D94B17}","","","",""
-84.38767029976054,33.76136242757999,"Survey","2016-10-22 11:05:39.000001","Yellow-bellied Sapsucker","Dead","HY","{46D85856-680F-44CE-A1C0-20FD1F0B4FE2}","","","",""
-84.32810836453473,33.92175148249209,"Survey","2016-09-29 13:56:55","Rose-breasted Grosbeak","Dead","","{D032B256-217A-4532-AE7B-21053AFDCC24}","","","",""
-84.37381236806317,33.84871312864716,"Survey","2016-10-24 13:23:24","Tennessee Warbler","Dead","Decomposed; disposed","{02AF6DDF-95E8-4327-A324-2131FBD0884D}","","","",""
-84.370685041505,33.84738040279361,"Survey","2017-09-28 13:02:19","Blackburnian Warbler","Dead","fresh","{6AF52670-C2F0-4567-9898-213611CA9DD5}","","","",""
-84.37319370820848,33.847913578891024,"Survey","2016-10-11 11:36:45","Tennessee Warbler","Dead","","{7780A9C4-C981-4D07-958F-21850AFFE997}","","","",""
-84.36095652053996,33.85093061819615,"","","","","","{1201AF73-A354-4F51-8EC9-21855E85A3B0}","","","",""
-84.36605137586096,33.84924769006024,"Incidental","2016-03-20 16:00:00","Unknown Bird","Dead","Old. Heavily decayed. Possible RCKI","{A50E9D79-AA27-4399-B3E1-21AA62867E13}","","","",""
-84.33649625773606,33.94276772825124,"Survey","2017-05-17 13:55:36","Pine Warbler","Dead","","{11CBDC7E-2BFF-4F3E-A6F3-221157D2488C}","","","",""
-84.38997703866288,33.74843814061316,"Incidental","2016-04-09 12:00:20.000001","Cedar Waxwing","Dead","","{6C98D47B-0FB3-48AB-AC0B-222681C69EE2}","","","",""
-84.3901779899953,33.74853348761926,"Incidental","2017-05-15 18:24:20","Indigo Bunting","Dead","male. old","{08B5D669-6E05-4F07-AADC-2242D9B26CFF}","","","",""
-84.37069313083414,33.84734219417175,"Survey","2016-10-13 10:53:21","Unknown Bird","Dead","old","{14D5E002-959F-473D-8E97-225F36FE3C6E}","","","",""
-84.36795408848111,33.84623421578893,"Survey","2016-05-02 10:50:07","Eastern Towhee","Dead","Female. Bird found first on 5/1/2016 at 4pm but was left behind. Specimen was then located on official route on 5/2. 1 picture from 5/1, others from 5/2","{C23E82CA-553C-4A0C-A4D5-22C61A11AF7F}","","","",""
-84.38687515059692,33.75677769751356,"Survey","2017-09-23 10:55:50","Ruby-throated Hummingbird","Dead","been dead for a while, covered in ants","{ECD54983-F869-4CA4-AD9A-231ABD73DB6E}","","","",""
-84.38833482759365,33.75674062174147,"Survey","2016-10-09 11:46:28","Wood Thrush","Dead","","{4B3026BF-7065-4EFD-89ED-2378F87D9C8B}","","","",""
-84.3905708322522,33.74825563644813,"Incidental","2016-11-14 20:26:47","White-throated Sparrow","Dead","","{33A35FBE-F901-46EC-99C5-23DDD01762C9}","","","",""
-84.39123459382236,33.74864140765513,"Incidental","2017-04-12 20:20:56","Cedar Waxwing","Dead","","{548BF271-473B-43F7-9DB1-247FC5C6268B}","","","",""
-84.38708620168809,33.761898153319436,"Survey","2016-04-24 11:27:50","House Sparrow","Dead","","{10C97DF6-76C3-4320-B9A9-24B4DBC50C85}","","","",""
-84.39610255716049,33.77900350291907,"Incidental","2017-05-16 10:11:27","American Robin","Dead","Ford Environmental Science and Technology","{13090321-00E8-4A0A-A02E-24B8191A6987}","","","",""
-84.32820752327073,33.92174827344834,"Incidental","2016-09-09 13:02:55","Willow Flycatcher","Dead","In bucket","{C1835AAF-850F-49FB-857A-24BBC065AE9D}","","","",""
-84.37081200489568,33.847654283348284,"Survey","2016-10-03 10:53:46","Magnolia Warbler","Dead","","{F18E7174-D8F4-47E7-A68B-25859E1AB9C6}","","","",""
-84.38838490956907,33.756759910226826,"Survey","2016-10-30 11:01:59","Golden-crowned Kinglet","Dead","","{A893DB6D-103D-479D-ADA4-258AD742476C}","","","",""
-84.40167059197258,33.775887760991886,"Survey","2016-05-24 12:35:46","American Robin","Dead","Juvenile; Bird carcass behind A/C unit; carcass disposed","{E2C0A870-DEEB-48A5-9ACA-26231AF08FB3}","","","",""
-84.3871400287399,33.75709218219793,"Survey","2016-10-22 10:18:20","Tennessee Warbler","Dead","","{5A1DB299-2E90-4E89-A769-26260C0468E8}","","","",""
-84.38792184061651,33.75521188456851,"Survey","2017-03-25 10:58:00","Brown Thrasher","Alive","Stunned in front of entrance of window/wall building.  Skittered around to avoid capture and then flew low to shelter of a shrub at the curb and then on to Woodruff Park.","{CEDEAB7A-2D5A-4E74-A416-2653095F0D20}","","","",""
-84.36571804250006,33.96923699149601,"Incidental","2017-05-16 15:41:39","Ruby-throated Hummingbird","Dead","female","{9FF7BBBB-CA52-4161-AAD6-2670D9F838AE}","","","",""
-84.39071762954603,33.748846410831995,"Survey","2017-09-26 12:51:20","Ruby-throated Hummingbird","Dead","","{903F1EC6-07E4-4C6B-810A-26C714ACDBB6}","","","",""
-84.39867459910894,33.78107249584692,"Survey","2017-09-01 10:02:23","Unknown Thrush","Dead","GTech Engineered Biosystems Bld.","{1A17EEE2-F578-4E1F-98B6-2775AB6FC1DC}","","","",""
-84.39585046473894,33.779922799257626,"Survey","2017-09-26 10:58:00","Common Yellowthroat","Dead","Molecular Science and Engineering Bld.","{26483BB7-6BFF-4808-A79F-27B3BAA80E6D}","","","",""
-84.33596308425874,33.942530186120784,"Survey","2017-05-10 13:42:10.000001","Red-eyed Vireo","Dead","In bucket from maintenance staff ","{704432CD-4FB3-4B15-9EAD-27DBF0BA200E}","","","",""
-84.37121514723563,33.8476229834613,"Survey","2017-08-28 11:44:05","American Robin","Dead","Dead. Collected.","{A8FF2021-206C-4B63-B766-28384E97F89B}","2017-08-28 11:44:08","Mary Kimberly ","",""
-84.36147255955154,33.85041443571578,"Incidental","2017-03-17 04:00:00","Cedar Waxwing","Alive","","{BAD4FA88-B3F9-4E12-9A2A-288A6A5D6A1C}","","","",""
-84.39060980027091,33.74878735762795,"Survey","2017-09-27 00:55:15","Ruby-throated Hummingbird","Dead","","{974778F0-CB88-410D-9758-2927604EF2CA}","","","",""
-84.39857852518762,33.77404012323852,"Survey","2017-10-03 12:22:00","Unknown Bird","Dead","Sparrow (sp. TBD)","{8AB0F7B3-4499-481A-9E48-29F75F5B10CD}","","","",""
